BioWare Version 5.3.2.9 Export
Device:	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA
Samples (#):	26204	26204	26204	26204	26204	26204	26204	26204
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0
Contact period end (sample #):	23851	23851	23851	23851	24593	24593	24593	24593
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	23.851000	23.851000	23.851000	23.851000	24.593000	24.593000	24.593000	24.593000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Jan 01, 1980  03:02:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	|Ft|	Fx	Fy	Fz	|Ft|
	N	N	N	N	N	N	N	N
0.177000	-58.012550	-32.101165	395.657761	401.174531	-58.451366	-1.527020	507.972900	511.327059
0.178000	-57.551710	-32.101475	397.190552	402.620216	-57.685055	-1.372736	507.296982	510.567995
0.179000	-57.552217	-32.485498	397.702797	403.156396	-57.990839	-1.218451	507.973259	511.274147
0.180000	-57.860281	-32.331795	397.536682	403.024281	-58.451366	-1.989564	508.308952	511.662498
0.181000	-57.167508	-31.563283	399.912903	405.209445	-57.683823	-1.680838	508.990891	512.251867
0.182000	-57.859779	-32.024237	399.747353	405.180517	-58.297241	-2.298134	507.296974	510.640842
0.183000	-57.629863	-31.870379	399.574013	404.964583	-58.604876	-1.372891	507.291679	510.667469
0.184000	-57.628855	-31.563128	399.918053	405.279860	-58.298166	-1.064166	506.615410	509.959785
0.185000	-58.013559	-31.486046	400.940041	406.337126	-57.684439	-1.680995	507.631912	510.901633
0.186000	-58.167342	-31.486200	401.277985	406.692564	-58.143732	-1.989564	507.286011	510.611152
0.187000	-58.089190	-31.639748	401.447144	406.860218	-58.758694	-1.372425	507.634552	511.025739
0.188000	-58.090704	-31.332497	401.960907	407.343621	-58.144348	-1.372425	505.931168	509.263188
0.189000	-58.014566	-30.640450	403.834686	409.129540	-58.451366	-0.755595	508.981812	512.327647
0.190000	-58.166836	-30.486902	403.150154	408.464048	-58.143732	-1.218762	507.278419	510.601189
0.191000	-58.166836	-30.563831	403.489616	408.804842	-58.144657	-1.989564	505.928513	509.262623
0.192000	-58.166334	-30.179652	405.195587	410.460227	-57.377113	-1.372891	507.964577	511.196664
0.193000	-58.243980	-30.256117	403.318367	408.623909	-58.604259	-1.681306	506.264206	509.647655
0.194000	-58.168346	-30.025950	405.365318	410.616799	-58.911278	-1.834968	508.986382	512.387590
0.195000	-58.551540	-30.102570	406.385880	411.684261	-58.451366	-1.064166	506.266464	509.630678
0.196000	-58.167342	-30.102880	408.088326	413.310663	-58.604259	-1.989408	505.587166	508.976227
0.197000	-58.398262	-29.641308	407.405792	412.635970	-59.064169	-1.989564	507.289818	510.720563
0.198000	-58.397259	-29.564689	407.405693	412.630233	-57.990532	-1.372736	505.927399	509.241906
0.199000	-58.475909	-28.718938	407.747246	412.918909	-58.604259	-1.372425	504.908615	508.300160
0.200000	-58.320620	-28.872642	408.766197	413.913914	-57.530313	-1.372425	505.588303	508.852781
0.201000	-58.474901	-28.718938	409.444077	414.594432	-59.064478	-1.218296	503.550766	507.004409
0.202000	-58.474901	-28.642010	409.442558	414.587611	-58.757151	-1.064478	504.904442	508.312927
0.203000	-58.628685	-28.257831	409.789154	414.925269	-58.757460	-1.527020	506.272171	509.672720
0.204000	-58.550537	-28.411688	410.809151	415.932143	-57.837639	-1.680683	506.607086	509.900732
0.205000	-58.705826	-27.796414	409.953842	415.067666	-58.757460	-1.680995	505.589447	508.995043
0.206000	-58.783472	-27.565629	409.782578	414.894109	-58.143732	-1.680995	507.627739	510.949548
0.207000	-59.166164	-27.412080	411.316338	416.453103	-58.757769	-2.143382	505.586037	508.993428
0.208000	-59.012886	-26.951283	412.506462	417.576907	-58.757460	-2.297823	505.250740	508.661016
0.209000	-59.318937	-27.258533	412.331123	417.467028	-58.450441	-2.297667	503.217354	506.605802
0.210000	-59.012886	-26.797426	412.669540	417.728108	-58.450750	-2.143693	503.209030	506.596895
0.211000	-59.088518	-26.182462	413.015739	418.041834	-58.451059	-1.372580	505.593613	508.962977
0.212000	-59.088518	-26.182305	412.158340	417.194755	-57.837948	-2.143382	504.233475	507.544303
0.213000	-58.856586	-26.105843	413.181297	418.167906	-58.603951	-2.297667	503.553421	506.957345
0.214000	-58.933226	-25.952450	413.860222	418.839991	-58.298475	-2.143693	505.245804	508.602625
0.215000	-59.009863	-25.413949	414.202812	419.156298	-58.144348	-2.760522	504.563507	507.910148
0.216000	-58.932722	-25.106699	414.198715	419.122879	-57.990839	-2.452420	505.248093	508.571123
0.217000	-59.086502	-25.183474	414.712479	419.656838	-58.756844	-2.297823	504.569168	507.983949
0.218000	-59.086000	-24.722365	414.877548	419.792485	-58.144041	-2.606549	504.233849	507.581814
0.219000	-59.393564	-24.645437	415.048409	420.000208	-57.376804	-2.606081	504.229317	507.489993
0.220000	-59.623480	-24.338033	414.878670	419.847127	-58.297241	-2.143693	503.893623	507.259251
